Sample_ID,ORDER,GROUP,SamplingYear,SamplingDate,Sample_Type,Location,Missing_data_snps,N_amps_tree,pGPL2,pGPL1,GENOASSIGN,Site_code,Site,Species_code,Genus,species,Lat,Lon
Bd_Campana,1,Reference,,,isolate,,0.0620155,152,0.999999966,3.44E-08,2,,,,,,,
SERDP_19_81,2,Pennsylvania,2019,3/29/19,swab,PA,0,159,0.443956323,0.556043677,0,1,Wood Lab,PSCR,Pseudacris,crucifer,41.56972,-80.4525
SERDP_100,3,Pennsylvania,2017,8/14/17,swab,PA,0.0465116,146,0.999998968,1.03E-06,2,1,Wood Lab,LICL,Lithobates,clamitans,41.56972,-80.4525
OWR41,4,Nevada,2017,5/8/17,isolate,NV,0,176,2.36E-06,0.999997638,1,4,Overton Wildlife Management Area,,Rana,catesbeiana,36.516331,-114.413044
SERDP_18_40,5,Pennsylvania,2018,4/22/18,swab,PA,0.24031,106,0.999540435,0.000459565,2,2,RV,NOVI,Notophthalmus,viridescens,41.82667,-80.5075
AR340,7,Nevada,2017,5/24/17,isolate,NV,0,176,0.999976892,2.31E-05,2,1,"Beatty, Nevada",,Rana,catesbeiana,36.91472,-116.754122
SERDP_18_33,8,Pennsylvania,2018,5/4/18,swab,PA,0,167,0.999999983,1.69E-08,2,3,Housing/Hatchery,ANAM,Anaxyrus,americanus,41.64414,-80.42944
OWR43,9,Nevada,2018,4/18/18,isolate,NV,0.0232558,115,2.84E-06,0.999997155,1,4,Overton Wildlife Management Area,,Rana,catesbeiana,36.516331,-114.413044
AR345,10,Nevada,2017,5/27/17,swab,NV,0,172,0.999977963,2.20E-05,2,1,"Beatty, Nevada",,Rana,catesbeiana,36.91472,-116.754122
Bd_CJB5_2,11,Reference,,,isolate,,0,,0.999997924,2.08E-06,2,,,,,,,
SERDP_19_91,12,Pennsylvania,2019,4/8/19,swab,PA,0.0155039,154,0.912124608,0.087875392,0,1,Wood Lab,LICL,Lithobates,clamitans,41.56972,-80.4525
Bd_PAB01,13,Reference,,,isolate,,0.0232558,,9.25E-06,0.999990745,1,,,,,,,
SERDP_19_93,14,Pennsylvania,2019,4/14/19,swab,PA,0,157,0.999999952,4.75E-08,2,1,Wood Lab,PSCR,Pseudacris,crucifer,41.56972,-80.4525
SERDP_19_144,15,Pennsylvania,2019,6/29/19,swab,PA,0.0542636,168,0.888676019,0.111323981,0,1,Wood Lab,LISY,Lithobates,sylvaticus,41.56972,-80.4525
SERDP_18_36,16,Pennsylvania,2018,5/4/18,swab,PA,0,167,1.73E-06,0.999998267,1,3,Housing/Hatchery,LICA,Lithobates,catesbeianus,41.64414,-80.42944
SERDP_18_125,17,Pennsylvania,2018,7/31/18,swab,PA,0,171,6.21E-06,0.999993788,1,5,Real Cow Pit [Sue and William Thompson],LICL,Lithobates,clamitans,41.67528,-80.5125
BP65,18,Nevada,2018,4/14/18,swab,NV,0,114,0.999879876,0.000120124,2,1,"Beatty, Nevada",,Anaxrus,nelsoni,36.998383,-116.719498
SERDP_18_114,19,Pennsylvania,2018,7/12/18,swab,PA,0,165,2.52E-06,0.999997475,1,5,Real Cow Pit [Sue and William Thompson],DEFU,Desmognathus,fuscus,41.67528,-80.5125
SERDP_19_74,20,Pennsylvania,2019,6/19/19,swab,PA,0.0775194,128,0.371497486,0.628502514,0,2,RV,LICL,Lithobates,clamitans,41.82667,-80.5075
Bd_JEL427,21,Reference,,,isolate,,0.0310078,,0.999999962,3.80E-08,2,,,,,,,
SERDP_19_86,22,Pennsylvania,2019,3/30/19,swab,PA,0,170,0.999999912,8.77E-08,2,9,,LIPI,Lithobates,pipiens,41.621208,-80.468131
SERDP_18_41,23,Pennsylvania,2018,4/22/18,swab,PA,0,173,0.976850644,0.023149356,0,2,RV,PSCR,Pseudacris,crucifer,41.82667,-80.5075
SERDP_18_44,24,Pennsylvania,2018,5/4/18,swab,PA,0.0542636,157,0.999999703,2.97E-07,2,3,Housing/Hatchery,PSCR,Pseudacris,crucifer,41.64414,-80.42944
SERDP_19_83,25,Pennsylvania,2019,3/29/19,swab,PA,0,168,0.202059592,0.797940408,0,1,Wood Lab,LICL,Lithobates,clamitans,41.56972,-80.4525
Bd_JEL433,26,Reference,,,isolate,,0.0232558,,0.999999952,4.77E-08,2,,,,,,,
SMR30,27,Nevada,2017,3/24/17,isolate,NV,0,175,0.999999955,4.51E-08,2,5,Spring Mountain Ranch,,Pseudacris,regilla,36.068931,-115.460189
OWR30,28,Nevada,2017,5/8/17,isolate,NV,0,176,0.999999809,1.91E-07,2,4,Overton Wildlife Management Area,,Pseudacris,regilla,36.516331,-114.413044
SERDP_19_58,29,Pennsylvania,2019,5/22/19,swab,PA,0.139535,134,3.99E-05,0.999960111,1,2,RV,LICA,Lithobates,catesbeianus,41.82667,-80.5075
OWR48,30,Nevada,2018,4/18/18,isolate,NV,0.0232558,116,3.18E-05,0.999968235,1,4,Overton Wildlife Management Area,,Rana,catesbeiana,36.516331,-114.413044
BP77,31,Nevada,2018,4/14/18,swab,NV,0,124,0.999967073,3.29E-05,2,1,"Beatty, Nevada",,Anaxrus,nelsoni,36.994535,-116.718524
SERDP_18_42,32,Pennsylvania,2018,5/5/18,swab,PA,0,171,5.71E-06,0.999994289,1,4,Cow Pit,LICA,Lithobates,catesbeianus,41.75694,-80.71778
SERDP_18_79,33,Pennsylvania,2018,6/23/18,swab,PA,0.186047,115,5.16E-07,0.999999484,1,4,Cow Pit,LICA,Lithobates,catesbeianus,41.75694,-80.71778
SERDP_19_84,34,Pennsylvania,2019,3/29/19,swab,PA,0,166,0.413047661,0.586952339,0,1,Wood Lab,LICL,Lithobates,clamitans,41.56972,-80.4525
SERDP_18_34,35,Pennsylvania,2018,4/14/18,swab,PA,0.100775,142,3.08E-06,0.999996921,1,5,Real Cow Pit [Sue and William Thompson],DEFU,Desmognathus,fuscus,41.67528,-80.5125
LBP122,36,Nevada,2018,3/29/18,swab,NV,0,118,9.95E-08,0.999999901,1,3,Lower Blue Point,,Rana,onca,36.38832,-114.420311
